Course Code,Course Title,Instructor
CS 211,Introduction to Artificial Intelligence,Instructor:N. Thakur
CS 325,Artificial Intelligence,Instructor:E. Agichtein
FILM 485,Advanced Topics in Film and Media Studies: Artificial Intelligence & Film,Instructor:G. Zinman
LAW 802A,SEM: Artificial Intelligence and the Law,Instructor:M. Sag
LAW 803E,Artificial Intelligence in Health Care for Professionals,Instructor:C. Tschider
MD 920,Translation: Elective: Artif.Intell/Machine Learning,Instructor:J. Gichoya
MD 920,Translation: Elective: Clinical Informatics,Instructor:W. Armstrong
QTM 347,Machine Learning I,Instructor:R. Xiong
CS 485,Topics in Computer Science: Text Processing with Neural Networks,Instructor:F. Liu
CS 323,Machine Learning Applications,Instructor:N. Thakur
